SKU,DEVICE TYPE,COLOR,CARRIER,SIZE,SPECS,NAME,# OF LABELS
MJVE2LL/A,CPU,SILVER,N/A,N/A,13.3 | 1.6GHZ | 4GB | 128GB,MacBook Air,1
MJVG2LL/A,CPU,SILVER,N/A,N/A,13.3 | 1.6GHZ | 4GB | 256GB,MacBook Air,1
MJVJ2LL/A,CPU,SILVER,N/A,N/A,13.3 | 2.2GHZ | 8GB | 512GB,MacBook Air,1
MJVM2LL/A,CPU,SILVER,N/A,N/A,11.6 | 1.6GHZ | 4GB | 128GB,MacBook Air,1
MJVP2LL/A,CPU,SILVER,N/A,N/A,11.6 | 1.6GHZ | 4GB | 256GB,MacBook Air,1
MJVR2LL/A,CPU,SILVER,N/A,N/A,11.6 | 2.2GHZ | 8GB | 512GB,MacBook Air,1
MF839LL/A,CPU,SILVER,N/A,N/A,13.3 | 2.7GHZ | 8GB | 128GB,MacBook Retina,1
MF840LL/A,CPU,SILVER,N/A,N/A,13.3 | 2.7GHZ | 8GB | 256GB,MacBook Retina,1
MF841LL/A,CPU,SILVER,N/A,N/A,13.3 | 2.9GHZ | 8GB | 512GB,MacBook Retina,1
MF843LL/A,CPU,SILVER,N/A,N/A,13.3 | 3.1GHZ | 16GB | 512GB,MacBook Retina,1
